Country,ISO_code,Region,Capital_City,Area_km2,Population,Currency
Aruba,,"Latin America & Caribbean",,"180",107195,"Aruban florin"
Africa Eastern and Southern,,"Sub-Saharan Africa",,,,
Afghanistan,AFG,"South Asia","Kabul","652230",38292946,"Afghan afghani"
Africa Western and Central,,"Sub-Saharan Africa",,,,
Angola,AGO,"Sub-Saharan Africa","Luanda","1246700",32866272,"Angolan kwanza"
Albania,ALB,"Europe & Central Asia","Tirana","28748",2854191,"Albanian lek"
Andorra,AND,"Europe & Central Asia","Andorra la Vella","468",77265,"Euro"
Arab World,,"Middle East & North Africa",,,,
United Arab Emirates,ARE,"Middle East & North Africa","Abu Dhabi","83600",9770529,"UAE dirham"
Argentina,ARG,"Latin America & Caribbean","Buenos Aires","2780400",45195777,"Argentine peso"
Armenia,ARM,"Europe & Central Asia","Yerevan","29743",2963243,"Armenian dram"
American Samoa,ASM,"East Asia & Pacific",,"199",55312,"US dollar"
Antigua and Barbuda,ATG,"Latin America & Caribbean","Saint John's","442",97929,"East Caribbean dollar"
Australia,AUS,"East Asia & Pacific","Canberra","7692024",25499884,"Australian dollar"
Austria,AUT,"Europe & Central Asia","Vienna","83871",9006400,"Euro"
Azerbaijan,AZE,"Europe & Central Asia","Baku","86600",10139175,"Azerbaijani manat"
Burundi,"BDI","Sub-Saharan Africa","Bujumbura Mairie","27830",11530577,"Burundian franc"
Belgium,BEL,"Europe & Central Asia","Brussels","30528",11589623,"Euro"
Benin,BEN,"Sub-Saharan Africa","Porto-Novo","112622",12123198,"West African CFA franc"
Burkina Faso,BFA,"Sub-Saharan Africa","Ouagadougou","272967",20903273,"West African CFA franc"
Bangladesh,BGD,"South Asia","Dhaka","148460",161356039,"Bangladeshi taka"
Bulgaria,BGR,"Europe & Central Asia","Sofia","110879",6988739,"Bulgarian lev"
Bahrain,BHR,"Middle East & North Africa","Manama","694",1701575,"Bahraini dinar"
Bahamas The,BHS,"Latin America & Caribbean","Nassau","13880",385340,"Bahamian dollar"
Bosnia and Herzegovina,BIH,"Europe & Central Asia","Sarajevo","51197",3301000,"Bosnian Convertible Mark"
Belarus,BLR,"Europe & Central Asia","Minsk","207600",9452411,"Belarusian ruble"
Belize,"BLZ","Latin America & Caribbean","Belmopan","22966",398050,"Belize dollar"
Bermuda,BMU,"North America",,"54",62278,"Bermudian dollar"
Bolivia,BOL,"Latin America & Caribbean","La Paz","1098580",11673021,"Bolivian boliviano"
Brazil,BRA,"Latin America & Caribbean","Brasília","8515770",212559417,"Brazilian real"
Barbados,BRB,"Latin America & Caribbean","Bridgetown","430",287375,"Barbadian or Bajan dollar"
Brunei Darussalam,BRN,"East Asia & Pacific","Bandar Seri Begawan","5765",433285,"Bruneian dollar"
Bhutan,BTN,"South Asia","Thimphu","38394",763092,"Bhutanese ngultrum"
Botswana,BWA,"Sub-Saharan Africa","Gaborone","581730",2351627,"Botswana pula"
Central African Republic,CAF,"Sub-Saharan Africa","Bangui","622984",4837366,"Central African CFA franc"
Canada,CAN,"North America","Ottawa","9984670",37742154,"Canadian dollar"
Central Europe and the Baltics,,"Europe & Central Asia",,,,
Switzerland,CHE,"Europe & Central Asia","Bern","41284",8654622,"Swiss franc"
Channel Islands,,"Europe & Central Asia",,,,
Chile,CHL,"Latin America & Caribbean","Santiago","756102",19116209,"Chilean peso"
China,CHN,"East Asia & Pacific","Beijing","9596960",1409320634,"Chinese yuan renminbi"
Cote d'Ivoire,CIV,"Sub-Saharan Africa","Yamoussoukro","322463",25716544,"West African CFA franc"
