"country","percPoverty","dataYear","lessThan10","lessThan550"
"China",0.6,2019,43.34,14.1
"Ukraine",1.1,2019,25.39,2.48
"Morocco",4.8,2013,61.66,24.1
"Belarus",5,2019,6.76,0.24
"Algeria",5.5,2011,68.3,20.83
"Azerbaijan",6,2012,3.69,0
"Vietnam",6.7,2018,55.23,19.87
"Moldova",7.3,2018,59.56,10.44
"Bhutan",8.2,2017,62.16,28.98
"Maldives",8.2,2016,16.9,1.98
"Uruguay",8.8,2019,16.77,3.16
"Iceland",8.8,2017,0.23,0.04
"Indonesia",9.4,2019,83.31,52.84
"Thailand",9.9,2018,37.2,6.17
"Mauritius",10.3,2017,41.7,10.3
"Canada",11.6,2018,1.5,0.74
"Slovenia",12,2018,0.62,0.07
"Finland",12.2,2019,0.3,0.19
"Hungary",12.3,2018,6.77,1.94
"Denmark",12.5,2018,0.57,0.26
"Russia",12.6,2018,22.42,3.27
"Norway",12.7,2018,0.63,0.36
"Solomon Islands",12.7,2012,96.17,83.38
"Vanuatu",12.7,2010,92.99,73.44
"Ireland",13.1,2018,0.72,0.4
"Austria",13.3,2018,1.53,1.04
"France",13.6,2018,0.41,0.11
"Uzbekistan",14.1,2013,93.21,75.14
"Albania",14.3,2012,66.45,29.86
"Turkey",14.4,2018,30.48,10.2
"Cyprus",14.7,2018,0.73,0.08
"Germany",14.8,2018,1.24,0.5
"Poland",15.4,2018,16.77,1.2
"Japan",15.7,2018,2.49,1.21
"Switzerland",16,2018,0.84,0.14
"Philippines",16.7,2018,84.34,56.12
"Israel",16.9,2018,10,2.47
"Bosnia and Herzegovina",16.9,2015,11.7,2.01
"Malta",17.1,2018,0.59,0.27
"Portugal",17.2,2018,6.11,1.64
"Namibia",17.4,2015,73.74,54.08
"Luxembourg",17.5,2018,1.34,0.58
"United States",17.8,2018,2.75,1.75
"Greece",17.9,2018,13.88,2.86
"Croatia",18.3,2018,9.73,2.14
"United Kingdom",18.6,2017,2.13,0.86
"Iraq",18.9,2012,86.46,48.29
"Botswana",19.3,2009,76.94,57.61
"Georgia",19.5,2019,78.18,42
"Jamaica",19.9,2012,62.01,29.93
"Italy",20.1,2018,5.58,3.05
"Kyrgyzstan",20.1,2019,89.63,52.6
"Samoa",20.3,2013,65.82,26.78
"Lithuania",20.6,2018,7.53,2.4
"Spain",20.7,2018,6.55,2.4
"Costa Rica",21,2019,31.38,10.62
"Djibouti",21.1,2017,88.97,65.09
"Uganda",21.4,2016,95.89,86.48
"North Macedonia",21.6,2018,43.24,16.59
"Estonia",21.7,2018,2.91,0.71
"Kiribati",21.8,2006,91.18,65.11
"India",21.9,2011,,
"Panama",22.1,2016,26.94,12.13
"Tonga",22.5,2009,63.24,23.98
"El Salvador",22.8,2019,56.04,22.31
"Latvia",22.9,2018,7.72,2.37
"Ethiopia",23.5,2015,96.33,85.67
"Paraguay",23.5,2019,39.53,15.36
"Pakistan",24.3,2015,94.64,75.96
"Bangladesh",24.3,2016,94.42,76.01
"Montenegro",24.5,2018,31.72,12.92
"Myanmar",24.8,2017,85.94,47.38
"Palau",24.9,2006,,
"Saint Lucia",25,2016,38.98,18.61
"Seychelles",25.3,2018,16.77,4.76
"Tajikistan",26.3,2019,76.69,38.49
"Tuvalu",26.3,2010,66.68,30.1
"Tanzania",26.4,2017,97.71,91.4
"Armenia",26.4,2019,86.84,44.02
"Brazil",26.5,2018,39.66,19.62
"Fiji",29.9,2019,64.22,24.58
"Angola",32.3,2018,97.16,89.13
"Egypt",32.5,2017,94.02,73.43
"Gabon",33.4,2017,65.18,32.37
"Argentina",35.5,2019,35.76,14.4
"Colombia",35.7,2019,55.8,29.37
"Kenya",36.1,2015,95.62,83.81
"Papua New Guinea",39.9,2009,93.89,77.57
"Nigeria",40.1,2018,98.76,92.04
"Mexico",41.9,2018,55.77,22.96
"DR Congo",63.9,2012,99.39,96.78
"Iran",,2019,47.25,16.57
"South Africa",55.5,2014,73.65,57.85
"South Korea",,2019,2.5,0.74
