Country,HDI,Life Expectancy,,
Switzerland,0.962,84.0,,
Norway,0.961,83.2,,
Iceland,0.959,82.7,,
Hong Kong China (SAR),0.952,85.5,,
Australia,0.951,84.5,,
Denmark,0.948,81.4,,
Sweden,0.947,83.0,,
Ireland,0.945,82.0,,
Germany,0.942,80.6,,
Netherlands,0.941,81.7,,
Finland,0.940,82.0,,
Singapore,0.939,82.8,,
Belgium,0.937,81.9,,
New Zealand,0.937,82.5,,
Canada,0.936,82.7,,
Liechtenstein,0.935,83.3,,
Luxembourg,0.930,82.6,,
United Kingdom,0.929,80.7,,
Japan,0.925,84.8,,
Korea (Republic of),0.925,83.7,,
United States,0.921,77.2,,
Israel,0.919,82.3,,
Malta,0.918,83.8,,
Slovenia,0.918,80.7,,
Austria,0.916,81.6,,
United Arab Emirates,0.911,78.7,,
Spain,0.905,83.0,,
France,0.903,82.5,,
Cyprus,0.896,81.2,,
Italy,0.895,82.9,,
Estonia,0.890,77.1,,
Czechia,0.889,77.7,,
Greece,0.887,80.1,,
Poland,0.876,76.5,,
Bahrain,0.875,78.8,,
Lithuania,0.875,73.7,,
Saudi Arabia,0.875,76.9,,
Portugal,0.866,81.0,,
Latvia,0.863,73.6,,
Andorra,0.858,80.4,,
Croatia,0.858,77.6,,
Chile,0.855,78.9,,
Qatar,0.855,79.3,,
San Marino,0.853,80.9,,
Slovakia,0.848,74.9,,
Hungary,0.846,74.5,,
Argentina,0.842,75.4,,
Türkiye,0.838,76.0,,
Montenegro,0.832,76.3,,
Kuwait,0.831,78.7,,
Brunei Darussalam,0.829,74.6,,
Russian Federation,0.822,69.4,,
Romania,0.821,74.2,,
Oman,0.816,72.5,,
Bahamas,0.812,71.6,,
Kazakhstan,0.811,69.4,,
Trinidad and Tobago,0.810,73.0,,
Costa Rica,0.809,77.0,,
Uruguay,0.809,75.4,,
Belarus,0.808,72.4,,
Panama,0.805,76.2,,
Malaysia,0.803,74.9,,
Georgia,0.802,71.7,,
Mauritius,0.802,73.6,,
Serbia,0.802,74.2,,
Thailand,0.800,78.7,,
Albania,0.796,76.5,,
Bulgaria,0.795,71.8,,
Grenada,0.795,74.9,,
Barbados,0.790,77.6,,
Antigua and Barbuda,0.788,78.5,,
Seychelles,0.785,71.3,,
Sri Lanka,0.782,76.4,,
Bosnia and Herzegovina,0.780,75.3,,
Saint Kitts and Nevis,0.777,71.7,,
Iran (Islamic Republic of),0.774,73.9,,
Ukraine,0.773,71.6,,
North Macedonia,0.770,73.8,,
China,0.768,78.2,,
Dominican Republic,0.767,72.6,,
Moldova (Republic of),0.767,68.8,,
Palau,0.767,66.0,,
Cuba,0.764,73.7,,
Peru,0.762,72.4,,
Armenia,0.759,72.0,,
Mexico,0.758,70.2,,
Brazil,0.754,72.8,,
Colombia,0.752,72.8,,
Saint Vincent and the Grenadines,0.751,69.6,,
Maldives,0.747,79.9,,
Algeria,0.745,76.4,,
Azerbaijan,0.745,69.4,,
Tonga,0.745,71.0,,
Turkmenistan,0.745,69.3,,
Ecuador,0.740,73.7,,
Mongolia,0.739,71.0,,
Egypt,0.731,70.2,,
Tunisia,0.731,73.8,,
Fiji,0.730,67.1,,
Suriname,0.730,70.3,,
Uzbekistan,0.727,70.9,,
Dominica,0.720,72.8,,
Jordan,0.720,74.3,,
Libya,0.718,71.9,,
Paraguay,0.717,70.3,,
Palestine State of,0.715,73.5,,
Saint Lucia,0.715,71.1,,
Guyana,0.714,65.7,,
South Africa,0.713,62.3,,
Jamaica,0.709,70.5,,
Samoa,0.707,72.8,,
Gabon,0.706,65.8,,
Lebanon,0.706,75.0,,
Indonesia,0.705,67.6,,
Viet Nam,0.703,73.6,,
Philippines,0.699,69.3,,
Botswana,0.693,61.1,,
Bolivia (Plurinational State of),0.692,63.6,,
Kyrgyzstan,0.692,70.0,,
Venezuela (Bolivarian Republic of),0.691,70.6,,
Iraq,0.686,70.4,,
Tajikistan,0.685,71.6,,
Belize,0.683,70.5,,
Morocco,0.683,74.0,,
El Salvador,0.675,70.7,,
Nicaragua,0.667,73.8,,
Bhutan,0.666,71.8,,
Cabo Verde,0.662,74.1,,
Bangladesh,0.661,72.4,,
Tuvalu,0.641,64.5,,
Marshall Islands,0.639,65.3,,
India,0.633,67.2,,
Ghana,0.632,63.8,,
Micronesia (Federated States of),0.628,70.7,,
Guatemala,0.627,69.2,,
Kiribati,0.624,67.4,,
Honduras,0.621,70.1,,
Sao Tome and Principe,0.618,67.6,,
Namibia,0.615,59.3,,
Lao People's Democratic Republic,0.607,68.1,,
Timor-Leste,0.607,67.7,,
Vanuatu,0.607,70.4,,
Nepal,0.602,68.4,,
Eswatini (Kingdom of),0.597,57.1,,
Equatorial Guinea,0.596,60.6,,
Cambodia,0.593,69.6,,
Zimbabwe,0.593,59.3,,
Angola,0.586,61.6,,
Myanmar,0.585,65.7,,
Syrian Arab Republic,0.577,72.1,,
Cameroon,0.576,60.3,,
Kenya,0.575,61.4,,
Congo,0.571,63.5,,
Zambia,0.565,61.2,,
Solomon Islands,0.564,70.3,,
Comoros,0.558,63.4,,
Papua New Guinea,0.558,65.4,,
Mauritania,0.556,64.4,,
Côte d'Ivoire,0.550,58.6,,
Arab States,0.708,70.9,,
East Asia and the Pacific,0.749,75.6,,
Europe and Central Asia,0.796,72.9,,
Latin America and the Caribbean,0.754,72.1,,
South Asia,0.632,67.9,,
Sub-Saharan Africa,0.547,60.1,,
